zip,lat,lng,city,state_id,state_name,county_name
27016,36.451679999999996,-80.21452,Danbury,NC,North Carolina,Stokes
27201,36.034240000000004,-79.48485,Alamance,NC,North Carolina,Alamance
27207,35.60548,-79.39299,Bear Creek,NC,North Carolina,Chatham
27212,36.46058,-79.28064,Blanch,NC,North Carolina,Caswell
27214,36.21252,-79.67859,Browns Summit,NC,North Carolina,Guilford
27239,35.60758,-80.08959,Denton,NC,North Carolina,Davidson
27242,35.33052,-79.63977,Eagle Springs,NC,North Carolina,Moore
27343,36.50309,-79.09172,Semora,NC,North Carolina,Person
27501,35.48576,-78.68494,Angier,NC,North Carolina,Harnett
27502,35.7201,-78.91507,Apex,NC,North Carolina,Wake
27503,36.159259999999996,-78.8778,Bahama,NC,North Carolina,Durham
27504,35.39897,-78.51901,Benson,NC,North Carolina,Johnston
27507,36.51271,-78.56306,Bullock,NC,North Carolina,Granville
27536,36.32669,-78.40883000000001,Henderson,NC,North Carolina,Vance
27557,35.77609,-78.19922,Middlesex,NC,North Carolina,Nash
27801,35.9155,-77.7361,Rocky Mount,NC,North Carolina,Edgecombe
27805,36.20783,-77.08434,Aulander,NC,North Carolina,Hertford
27806,35.297270000000005,-76.76526,Aurora,NC,North Carolina,Beaufort
27812,35.81566,-77.36924,Bethel,NC,North Carolina,Pitt
27813,35.63089,-77.93603,Black Creek,NC,North Carolina,Wilson
27824,35.52145,-76.03258000000001,Engelhard,NC,North Carolina,Hyde
27825,35.832809999999995,-77.17446,Everetts,NC,North Carolina,Martin
27847,36.1846,-77.18907,Kelford,NC,North Carolina,Bertie
27909,36.29548,-76.28394,Elizabeth City,NC,North Carolina,Pasquotank
27915,35.403209999999994,-75.4953,Avon,NC,North Carolina,Dare
27916,36.32212,-75.91509,Aydlett,NC,North Carolina,Currituck
27919,36.31187,-76.50347,Belvidere,NC,North Carolina,Perquimans
27925,35.84819,-76.19669,Columbia,NC,North Carolina,Tyrrell
27926,36.51685,-76.6078,Corapeake,NC,North Carolina,Gates
27932,36.1007,-76.60011999999999,Edenton,NC,North Carolina,Chowan
28001,35.33623,-80.20477,Albemarle,NC,North Carolina,Stanly
28006,35.4069,-81.09465,Alexis,NC,North Carolina,Gaston
28007,35.10451,-80.10989000000001,Ansonville,NC,North Carolina,Anson
28017,35.24709,-81.67063,Boiling Springs,NC,North Carolina,Cleveland
28018,35.483779999999996,-81.79521,Bostic,NC,North Carolina,Rutherford
28025,35.38042,-80.5279,Concord,NC,North Carolina,Cabarrus
28115,35.57956,-80.77328,Mooresville,NC,North Carolina,Iredell
28318,35.01788,-78.61414,Autryville,NC,North Carolina,Sampson
28320,34.5518,-78.77337,Bladenboro,NC,North Carolina,Bladen
28325,35.15392,-78.1042,Calypso,NC,North Carolina,Duplin
28340,34.471990000000005,-79.14074000000001,Fairmont,NC,North Carolina,Robeson
28343,34.7635,-79.58189,Gibson,NC,North Carolina,Scotland
